Accession,Species,Genus,Family
NC_076598.1,Alphafusarivirus neofusicocci,Alphafusarivirus,Fusariviridae
NC_032256.1,Hudovirus lepidopteris,Hudovirus,Phenuiviridae
NC_034975.1,Mamastrovirus 4,Mamastrovirus,Astroviridae
NC_008178.1,Micromonas pusilla reovirus,Mimoreovirus,Sedoreoviridae
NC_007856.1,Gequatrovirus G4,Gequatrovirus,Microviridae
NC_055169.1,Cultervirus hemicultri,Cultervirus,Bornaviridae
NC_034376.1,Carlavirus PepVA,Carlavirus,Betaflexiviridae
NC_000852.5,Paramecium bursaria Chlorella virus 1,Chlorovirus,Phycodnaviridae
NC_001822.1,Betanecrovirus porri,Betanecrovirus,Tombusviridae
NC_034457.1,Herbevirus taiense,Herbevirus,Peribunyaviridae
NC_074189.1,Konmavirus lutivivens,Konmavirus,Blumeviridae
NC_039088.1,Cardamom mosaic virus,Macluravirus,Potyviridae
NC_076931.1,Sunrhavirus boteke,Sunrhavirus,Rhabdoviridae
NC_076291.1,Papaya severe leaf curl virus,Begomovirus,Geminiviridae
NC_003514.1,Beet necrotic yellow vein virus,Benyvirus,Benyviridae
NC_043507.1,Alphachrysovirus perseae,Alphachrysovirus,Chrysoviridae
NC_074590.1,Gredihovirus arvivicinum,Gredihovirus,Steitzviridae
NC_004097.1,Macroptilium mosaic Puerto Rico virus,Begomovirus,Geminiviridae
NC_055377.1,Loanvirus brunaense,Loanvirus,Hantaviridae
NC_038710.1,Orthonairovirus hazaraense,Orthonairovirus,Nairoviridae
NC_023634.1,Phlebovirus arumowotense,Phlebovirus,Phenuiviridae
NC_043650.1,Orthobunyavirus biraoense,Orthobunyavirus,Peribunyaviridae
NC_005807.1,Honeysuckle yellow vein virus,Begomovirus,Geminiviridae
NC_077032.1,Avian chapparvovirus,Chapparvovirus,Parvoviridae
NC_054904.1,Tequatrovirus ecomime340,Tequatrovirus,Straboviridae
NC_008877.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_018703.1,Culex originated Tymoviridae-like virus,Maculavirus,Tymoviridae
NC_078225.1,Orthonairovirus parahaemorrhagiae,Orthonairovirus,Nairoviridae
NC_078871.1,Orthophasmavirus philoctetis,Orthophasmavirus,Phasmaviridae
NC_076789.1,Botoulivirus epsilonplasmoparae,Botoulivirus,Botourmiaviridae
NC_078844.1,Comovirus andesense,Comovirus,Secoviridae
NC_039033.1,Circovirus kelawar,Circovirus,Circoviridae
NC_035199.1,Omegapapillomavirus 1,Omegapapillomavirus,Papillomaviridae
NC_074561.1,Betatectivirus sole,Betatectivirus,Tectiviridae
NC_076394.1,Penicillimonavirus alphapenicillii,Penicillimonavirus,Mymonaviridae
NC_022088.2,Bequatrovirus troll,Bequatrovirus,Herelleviridae
NC_024778.1,Orthobornavirus elapsoideae,Orthobornavirus,Bornaviridae
NC_038851.1,Japanese soil-borne wheat mosaic virus,Furovirus,Virgaviridae
NC_004830.2,Iflavirus aladeformis,Iflavirus,Iflaviridae
NC_076237.1,Porcine associated porprismacovirus,Porprismacovirus,Smacoviridae
NC_076647.1,Etahypovirus sclerotii,Etahypovirus,Hypoviridae
NC_074954.1,Tent-making bat hepatitis B virus,Orthohepadnavirus,Hepadnaviridae
NC_042133.1,Siophivirus SIOphi,Siophivirus,Herelleviridae
NC_005029.1,Onion yellow dwarf virus,Potyvirus,Potyviridae
NC_003883.1,Fusarium poae virus 1,Betapartitivirus,Partitiviridae
NC_047866.1,Ahphunavirus Ahp1,Ahphunavirus,Autographiviridae
NC_014898.1,Lupinus mosaic virus,Potyvirus,Potyviridae
NC_074031.1,Niuhvovirus limivivens,Niuhvovirus,Fiersviridae
NC_025897.1,Betapolyomavirus secupacynocephalus,Betapolyomavirus,Polyomaviridae
NC_035465.1,Pregotovirus heba,Pregotovirus,Tobaniviridae
NC_048041.1,Pogseptimavirus PG07,Pogseptimavirus,Demerecviridae
NC_029314.1,Hoswirudivirus ARV2,Hoswirudivirus,Rudiviridae
NC_022005.1,Bean white chlorosis mosaic virus,Begomovirus,Geminiviridae
NC_007753.1,Peruvian horse sickness virus,Orbivirus,Sedoreoviridae
NC_026238.1,Badnavirus reterubi,Badnavirus,Caulimoviridae
NC_038346.1,Betatorquevirus homini11,Betatorquevirus,Anelloviridae
NC_025468.1,Carrot Ch virus 2,Chordovirus,Betaflexiviridae
NC_055164.1,Alphapolyomavirus sominutus,Alphapolyomavirus,Polyomaviridae
NC_010647.1,Macroptilium yellow mosaic virus,Begomovirus,Geminiviridae
NC_038573.1,Corriparta virus,Orbivirus,Sedoreoviridae
NC_073845.1,Tsecebavirus borborovicinum,Tsecebavirus,Atkinsviridae
NC_044959.2,African swine fever virus,Asfivirus,Asfarviridae
NC_008921.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_037051.1,Hyacinth mosaic virus,Potyvirus,Potyviridae
NC_076210.1,Betaricinrhavirus chimay,Betaricinrhavirus,Rhabdoviridae
NC_001987.1,Rhadinovirus atelinegamma3,Rhadinovirus,Orthoherpesviridae
NC_003786.2,Sadwavirus citri,Sadwavirus,Secoviridae
NC_055883.1,Kahnovirus oralis,Kahnovirus,Steigviridae
NC_043370.1,Idnoreovirus 1,Idnoreovirus,Spinareoviridae
NC_079000.1,Songling virus,Orthonairovirus,Nairoviridae
NC_033070.1,Sigmavirus ying,Sigmavirus,Rhabdoviridae
NC_008057.1,Tomato golden mottle virus,Begomovirus,Geminiviridae
NC_055874.1,Diorhovirus intestinalis,Diorhovirus,Intestiviridae
NC_038260.1,Cytomegalovirus cebinebeta1,Cytomegalovirus,Orthoherpesviridae
NC_074184.1,Kahnayevirus asiovivens,Kahnayevirus,Blumeviridae
NC_055646.1,Emaravirus kiwii,Emaravirus,Fimoviridae
NC_027375.1,Phikmvvirus ABTNL,Phikmvvirus,Autographiviridae
NC_025965.1,Tetraparvovirus ungulate3,Tetraparvovirus,Parvoviridae
NC_043390.1,Ophiovirus tulipae,Ophiovirus,Aspiviridae
NC_076434.1,Gemykibivirus galga3,Gemykibivirus,Genomoviridae
NC_025401.1,Sunrhavirus sunguru,Sunrhavirus,Rhabdoviridae
NC_026815.1,Protoparvovirus eulipotyphla1,Protoparvovirus,Parvoviridae
NC_008294.1,Perrunavirus olsenii,Perrunavirus,Fiersviridae
NC_038445.1,Cowpea golden mosaic virus-[Nigeria],Begomovirus,Geminiviridae
NC_038771.1,Emaravirus actinidiae,Emaravirus,Fimoviridae
NC_004035.1,Sorghum mosaic virus,Potyvirus,Potyviridae
NC_008180.1,Micromonas pusilla reovirus,Mimoreovirus,Sedoreoviridae
NC_076911.1,Vebetovirus paba,Vebetovirus,Tobaniviridae
NC_074297.1,Gahmegovirus lutivicinum,Gahmegovirus,Steitzviridae
NC_074766.1,Paraavulavirus hongkongense,Paraavulavirus,Paramyxoviridae
NC_070703.1,Streptococcus phage P7601,Moineauvirus,Aliceevansviridae
NC_038983.1,Triumfetta yellow mosaic virus,Begomovirus,Geminiviridae
NC_034215.1,Nepovirus persicae,Nepovirus,Secoviridae
NC_070701.1,Streptococcus phage P7573,Moineauvirus,Aliceevansviridae
NC_012702.1,Nyavirus midwayense,Nyavirus,Nyamiviridae
NC_004192.1,Pepper leaf curl Bangladesh virus,Begomovirus,Geminiviridae
NC_074439.1,Molucevirus chthonovivens,Molucevirus,Steitzviridae
NC_055882.1,Pamirivirus faecium,Pamirivirus,Steigviridae
NC_031006.1,Bacillus phage DIGNKC,Wphvirus,Herelleviridae
NC_076366.1,Gemykibivirus hydro3,Gemykibivirus,Genomoviridae
NC_015267.1,Deltapapillomavirus 6,Deltapapillomavirus,Papillomaviridae
NC_023309.1,Pea yellow stunt virus,Nanovirus,Nanoviridae
NC_011345.1,Alphabaculovirus agipsilonis,Alphabaculovirus,Baculoviridae
NC_008981.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_027222.1,Sclerotinia sclerotiorum megabirnavirus 1,Megabirnavirus,Megabirnaviridae
NC_011644.1,Varicellovirus equidalpha9,Varicellovirus,Orthoherpesviridae
NC_077754.1,Avian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_003492.1,Bean yellow mosaic virus,Potyvirus,Potyviridae
NC_043082.1,Helleborus mosaic virus,Carlavirus,Betaflexiviridae
NC_004175.1,Cystovirus phi12,Cystovirus,Cystoviridae
NC_043131.1,Bracoviriform kariyai,Bracoviriform,Polydnaviriformidae
NC_033792.1,Qinghai Himalayan marmot astrovirus 1,Mamastrovirus,Astroviridae
NC_073825.1,Qeihnovirus defluviicola,Qeihnovirus,Atkinsviridae
NC_043396.1,Aspergillus ochraceous virus,Gammapartitivirus,Partitiviridae
NC_030940.1,Phitrevirus phi3,Phitrevirus,Peduoviridae
NC_003807.1,Dianthovirus meliloti,Dianthovirus,Tombusviridae
NC_013590.2,Varicellovirus felidalpha1,Varicellovirus,Orthoherpesviridae
NC_038944.1,Wound tumor virus,Phytoreovirus,Sedoreoviridae
NC_048035.1,Maculvirus KF1,Maculvirus,Autographiviridae
NC_033327.1,Scarabeuvirus hubeiense,Scarabeuvirus,Chuviridae
NC_003461.1,Respirovirus laryngotracheitidis,Respirovirus,Paramyxoviridae
NC_074067.1,Pohlevirus arvicola,Pohlevirus,Fiersviridae
NC_047948.1,Baoshanvirus BS2,Baoshanvirus,Herelleviridae
NC_028848.1,Friunavirus Fri1,Friunavirus,Autographiviridae
NC_003874.1,Zybavirus bailii,Zybavirus,Amalgaviridae
NC_003519.1,Beet soil-borne virus,Pomovirus,Virgaviridae
NC_074155.1,Intasivirus peladaptatum,Intasivirus,Solspiviridae
NC_010735.1,Verbena virus Y,Potyvirus,Potyviridae
NC_008579.1,Croton yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae
NC_015505.1,Badnavirus thetavirgamusae,Badnavirus,Caulimoviridae
NC_015158.1,Icepovirus bengalense,Icepovirus,Zobellviridae
NC_043279.1,Bracoviriform flavipedis,Bracoviriform,Polydnaviriformidae
NC_074574.1,Fagihovirus caenihabitans,Fagihovirus,Steitzviridae
NC_038731.1,Orthobunyavirus gamboaense,Orthobunyavirus,Peribunyaviridae
NC_074073.1,Psehatovirus edaphenecus,Psehatovirus,Fiersviridae
NC_074165.1,Puhrivirus limivivens,Puhrivirus,Solspiviridae
NC_055574.1,Euonymus yellow mottle associated virus,Potexvirus,Alphaflexiviridae
NC_030408.1,Etheostoma fonticola aquareovirus,Aquareovirus,Spinareoviridae
NC_029086.1,Elderberry carlavirus B,Carlavirus,Betaflexiviridae
NC_008007.1,Ichnoviriform sonorense,Ichnoviriform,Polydnaviriformidae
NC_004542.1,Canine vesivirus,Vesivirus,Caliciviridae
NC_074445.1,Pahspavirus humihabitans,Pahspavirus,Steitzviridae
NC_008856.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_042129.1,Tequatrovirus slur03,Tequatrovirus,Straboviridae
NC_042090.1,Novosibvirus PM135,Novosibvirus,Demerecviridae
NC_078334.1,Orthophasmavirus coleopterus,Orthophasmavirus,Phasmaviridae
NC_003757.1,Rice ragged stunt virus,Oryzavirus,Spinareoviridae
NC_047872.1,Pecentumvirus LMSP25,Pecentumvirus,Herelleviridae
NC_039085.1,Bornean orangutan simian foamy virus,Simiispumavirus,Retroviridae
NC_011530.1,Dyozetapapillomavirus 1,Dyozetapapillomavirus,Papillomaviridae
NC_019025.1,Rubus canadensis virus 1,Foveavirus,Betaflexiviridae
NC_074653.1,Alphaglobulovirus PSV2,Alphaglobulovirus,Globuloviridae
NC_038602.1,Lebombo virus,Orbivirus,Sedoreoviridae
NC_052966.1,Xooduovirus Xoosp2,Xooduovirus,Mesyanzhinovviridae
NC_039225.1,Beet soil-borne mosaic virus,Benyvirus,Benyviridae
NC_031290.1,Wenrivirus penaei,Wenrivirus,Phenuiviridae
NC_074550.1,Zuysuivirus humivicinum,Zuysuivirus,Steitzviridae
NC_074413.1,Lehptavirus choradaptatum,Lehptavirus,Steitzviridae
NC_076827.1,Penoulivirus betabotrytidis,Penoulivirus,Botourmiaviridae
NC_034447.1,Hapavirus hartpark,Hapavirus,Rhabdoviridae
NC_055189.1,Pacuvirus tapirapeense,Pacuvirus,Peribunyaviridae
NC_043134.1,Narcissus latent virus,Macluravirus,Potyviridae
NC_013076.1,Tomato chocolate spot virus,Torradovirus,Secoviridae
NC_005264.1,Iltovirus psittacidalpha1,Iltovirus,Orthoherpesviridae
NC_014542.1,Tomato leaf curl Oman virus,Begomovirus,Geminiviridae
NC_027121.1,Areca palm velarivirus 1,Velarivirus,Closteroviridae
NC_076017.1,Marmot mosavirus,Mosavirus,Picornaviridae
NC_026808.1,Gemykibivirus monas1,Gemykibivirus,Genomoviridae
NC_001747.1,Potato leafroll virus,Polerovirus,Solemoviridae
NC_023613.1,Invertebrate iridovirus 25,Chloriridovirus,Iridoviridae
NC_005990.1,Palyam virus,Orbivirus,Sedoreoviridae
NC_076925.1,Odonatavirus draconis,Odonatavirus,Chuviridae
NC_025852.1,Dendrolimus punctatus cypovirus 22,Cypovirus,Spinareoviridae
NC_078612.1,Sardinovirus pilchardi,Sardinovirus,Orthomyxoviridae
NC_030118.1,Tobacco mosqueado virus,Potyvirus,Potyviridae
NC_010700.1,Mammarenavirus whitewaterense,Mammarenavirus,Arenaviridae
NC_028448.1,Tequatrovirus slur03,Tequatrovirus,Straboviridae
NC_055721.1,Kagamiyamavirus ecs1,Kagamiyamavirus,Straboviridae
NC_025673.1,Hepacivirus norvegici,Hepacivirus,Flaviviridae
NC_038327.1,Marafivirus cynodonis,Marafivirus,Tymoviridae
NC_002559.1,Cypovirus 15,Cypovirus,Spinareoviridae
NC_043042.1,Ictavirus acipenseridallo2,Ictavirus,Alloherpesviridae
NC_030801.1,Dyoxipapillomavirus 2,Dyoxipapillomavirus,Papillomaviridae
NC_020865.1,Sednavirus SRIP2,Sednavirus,Autographiviridae
NC_003990.1,Tremovirus A,Tremovirus,Picornaviridae
NC_071078.1,Streptococcus phage P7954,Brussowvirus,Aliceevansviridae
NC_055328.1,Phlebovirus chagresense,Phlebovirus,Phenuiviridae
NC_008152.1,Vectrevirus K15,Vectrevirus,Autographiviridae
NC_077096.1,Agapanthus carlavirus B,Carlavirus,Betaflexiviridae
NC_013112.1,Cassava virus C,Ourmiavirus,Botourmiaviridae
NC_014467.1,Pseudotevenvirus RB16,Pseudotevenvirus,Straboviridae
NC_022127.1,Ageratum latent virus,Ilarvirus,Bromoviridae
NC_076946.1,Gammanudivirus cameanadis,Gammanudivirus,Nudiviridae
NC_077136.1,robinz virus RP_736,Cyclovirus,Circoviridae
NC_007657.1,Yunnan orbivirus,Orbivirus,Sedoreoviridae
NC_055324.1,Phlebovirus cacaoense,Phlebovirus,Phenuiviridae
NC_038571.1,Corriparta virus,Orbivirus,Sedoreoviridae
NC_007742.1,Liao ning virus,Seadornavirus,Sedoreoviridae
NC_001411.2,Black beetle virus,Alphanodavirus,Nodaviridae
NC_011546.1,Primate T-lymphotropic virus 3,Deltaretrovirus,Retroviridae
NC_031453.1,Macroptilium common mosaic virus,Begomovirus,Geminiviridae
NC_078618.1,Thogotovirus josense,Thogotovirus,Orthomyxoviridae
NC_076800.1,Scleroulivirus kappaplasmoparae,Scleroulivirus,Botourmiaviridae
NC_020498.1,TTV-like mini virus,Betatorquevirus,Anelloviridae
NC_016443.1,Sadwavirus fritillariae,Sadwavirus,Secoviridae
NC_038554.1,Alphapolyomavirus acelebensis,Alphapolyomavirus,Polyomaviridae
NC_043498.1,Macrobrachium satellite virus 1,Macronovirus,Sarthroviridae
NC_018448.1,Sweet potato C6 virus,Carlavirus,Betaflexiviridae
NC_078280.1,Lincruvirus sinense,Lincruvirus,Cruliviridae
NC_001531.1,Betapapillomavirus 1,Betapapillomavirus,Papillomaviridae
NC_008955.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_008736.1,Mal de Rio Cuarto virus,Fijivirus,Spinareoviridae
NC_055386.1,Phlebovirus tehranense,Phlebovirus,Phenuiviridae
NC_076252.1,Porcine associated porprismacovirus,Porprismacovirus,Smacoviridae
NC_011525.1,Potato latent virus,Carlavirus,Betaflexiviridae
NC_033493.1,Petunia chlorotic mottle virus,Nepovirus,Secoviridae
NC_015229.1,Fig fleck-associated virus,Maculavirus,Tymoviridae
NC_040188.1,Triumfetta yellow mosaic virus,Begomovirus,Geminiviridae
NC_074583.1,Gihfavirus pelohabitans,Gihfavirus,Steitzviridae
NC_062771.1,Carjivirus hominis,Carjivirus,Intestiviridae
NC_027026.1,Sapporo virus,Sapovirus,Caliciviridae
NC_074580.1,Gehrmavirus pelocola,Gehrmavirus,Steitzviridae
NC_048110.1,Epseptimavirus seafire,Epseptimavirus,Demerecviridae
NC_004730.1,Indian peanut clump virus,Pecluvirus,Virgaviridae
NC_032907.1,Alphapaprhavirus hubei,Alphapaprhavirus,Rhabdoviridae
NC_008604.2,Culex flavivirus,Flavivirus,Flaviviridae
NC_075317.1,Gemycircularvirus alces1,Gemycircularvirus,Genomoviridae
NC_076805.1,Scleroulivirus omicronplasmoparae,Scleroulivirus,Botourmiaviridae
NC_002645.1,Human coronavirus 229E,Alphacoronavirus,Coronaviridae
NC_031753.1,Circovirus porcine3,Circovirus,Circoviridae
NC_077011.1,Pileated finch aveparvovirus,Aveparvovirus,Parvoviridae
NC_008034.1,Badnavirus maculadracaenae,Badnavirus,Caulimoviridae
NC_043215.1,Possum atadenovirus A,Atadenovirus,Adenoviridae
NC_073835.1,Rainacovirus tellurivicinum,Rainacovirus,Atkinsviridae
NC_016757.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae
NC_035201.1,Omegapapillomavirus 1,Omegapapillomavirus,Papillomaviridae
NC_043625.1,Seattle orthophasmavirus,Orthophasmavirus,Phasmaviridae
NC_034617.1,Megrivirus D,Megrivirus,Picornaviridae
NC_078882.1,Orthobunyavirus turlockense,Orthobunyavirus,Peribunyaviridae
NC_039187.1,Orthobunyavirus wyeomyiae,Orthobunyavirus,Peribunyaviridae
NC_034263.1,Thogotovirus dhoriense,Thogotovirus,Orthomyxoviridae
NC_033297.1,Yingvirus charybdis,Yingvirus,Qinviridae
NC_043607.1,Orthobunyavirus tataguineense,Orthobunyavirus,Peribunyaviridae
NC_078408.1,Tenuivirus eurotritici,Tenuivirus,Phenuiviridae
NC_075440.1,Cynoglossusvirus cynoglossi,Cynoglossusvirus,Paramyxoviridae
NC_040441.1,Daphnis nerii cypovirus,Cypovirus,Spinareoviridae
NC_008894.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_074345.1,Gredihovirus terrihabitans,Gredihovirus,Steitzviridae
NC_047895.1,Teseptimavirus EG1,Teseptimavirus,Autographiviridae
NC_040603.1,Aveparvovirus gruiform1,Aveparvovirus,Parvoviridae
NC_040641.1,Blechomonas wendygibsoni narnavirus 1,Narnavirus,Narnaviridae
NC_017089.1,Alphapleolipovirus HRPV6,Alphapleolipovirus,Pleolipoviridae
NC_031958.1,Almendravirus chico,Almendravirus,Rhabdoviridae
NC_014128.1,Sida golden mottle virus,Begomovirus,Geminiviridae
NC_005175.1,Aquareovirus C,Aquareovirus,Spinareoviridae
NC_078650.1,Thogotovirus upoluense,Thogotovirus,Orthomyxoviridae
NC_003670.1,Pepper ringspot virus,Tobravirus,Virgaviridae
NC_008041.1,Redspotted grouper nervous necrosis virus,Betanodavirus,Nodaviridae
NC_025391.1,Sripuvirus almpiwar,Sripuvirus,Rhabdoviridae
NC_007376.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_038433.1,Pegivirus equi,Pegivirus,Flaviviridae
NC_039043.1,Penstylhamaparvovirus decapod1,Penstylhamaparvovirus,Parvoviridae
NC_008365.1,Streptocarpus flower break virus,Tobamovirus,Virgaviridae
NC_038597.1,Lebombo virus,Orbivirus,Sedoreoviridae
NC_076417.1,Daazvirus cynopis,Daazvirus,Kolmioviridae
NC_076757.1,Magoulivirus sigmaplasmoparae,Magoulivirus,Botourmiaviridae
NC_022554.1,Wallal virus,Orbivirus,Sedoreoviridae
NC_010594.1,Aquareovirus G,Aquareovirus,Spinareoviridae
NC_004060.2,Southern bean mosaic virus,Sobemovirus,Solemoviridae
NC_001540.1,Bocaparvovirus ungulate1,Bocaparvovirus,Parvoviridae
NC_078623.1,Orthophasmavirus coredoense,Orthophasmavirus,Phasmaviridae
NC_005348.1,Tomato leaf curl Mali virus,Begomovirus,Geminiviridae
NC_075283.1,Valinorvirus arda,Valinorvirus,Nenyaviridae
NC_008893.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_012493.1,Tomato leaf curl Patna betasatellite,Betasatellite,Tolecusatellitidae
NC_055308.1,Phlebovirus itaitubaense,Phlebovirus,Phenuiviridae
NC_055552.1,Coconut foliar decay alphasatellite 4,Cocosatellite,Alphasatellitidae
NC_011348.1,Tomato yellow leaf distortion virus,Begomovirus,Geminiviridae
NC_078259.1,Pacific coast tick nairovirus,Orthonairovirus,Nairoviridae
NC_021564.1,Citrus vein enation virus,Enamovirus,Solemoviridae
NC_008560.1,Malvastrum yellow mosaic virus satellite DNA beta,Betasatellite,Tolecusatellitidae
NC_003475.1,Banana bunchy top virus,Babuvirus,Nanoviridae
NC_076856.1,Tofonivirus foami,Tofonivirus,Mesoniviridae
NC_074488.1,Sidiruavirus agrenecus,Sidiruavirus,Steitzviridae
NC_033832.1,Orthotospovirus melotessellati,Orthotospovirus,Tospoviridae
NC_041990.1,Escherichia virus ST0,Mosigvirus,Straboviridae
NC_003750.1,Rice ragged stunt virus,Oryzavirus,Spinareoviridae
NC_039016.1,Orthoavulavirus upoense,Orthoavulavirus,Paramyxoviridae
NC_014379.1,Melon chlorotic mosaic alphasatellite,Clecrusatellite,Alphasatellitidae
NC_027117.1,Desmodus rotundus endogenous retrovirus,Betaretrovirus,Retroviridae
NC_048632.1,Chivirus cv35,Chivirus,Casjensviridae
NC_035460.1,Eptesipox virus,Vespertilionpoxvirus,Poxviridae
NC_015126.1,Avian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_074032.1,Noehsivirus tellurivicinum,Noehsivirus,Fiersviridae
NC_043312.1,Bracoviriform facetosae,Bracoviriform,Polydnaviriformidae
NC_047822.1,Tequintavirus LLS,Tequintavirus,Demerecviridae
NC_074319.1,Gredihovirus neoterricola,Gredihovirus,Steitzviridae
NC_034489.1,Orthobunyavirus caraparuense,Orthobunyavirus,Peribunyaviridae
NC_007380.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_025464.1,Poseidonvirus SCBP4,Poseidonvirus,Autographiviridae
NC_034385.1,Cosavirus F,Cosavirus,Picornaviridae
NC_021069.1,Quang Binh virus,Flavivirus,Flaviviridae
NC_043040.1,Insect inshuvirus,Inshuvirus,Phasmaviridae
NC_026472.1,Badnavirus maculasmallanthi,Badnavirus,Caulimoviridae
NC_005176.1,Aquareovirus C,Aquareovirus,Spinareoviridae
NC_043294.1,Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
NC_031134.1,Cannabis cryptic virus,Betapartitivirus,Partitiviridae
NC_032987.1,Betaarterivirus chinrav 1,Betaarterivirus,Arteriviridae
NC_039214.1,Cyclovirus vazka,Cyclovirus,Circoviridae
NC_001619.1,Lambdapapillomavirus 2,Lambdapapillomavirus,Papillomaviridae
NC_004655.1,East African cassava mosaic Zanzibar virus,Begomovirus,Geminiviridae
NC_038836.1,Heterobasidion partitivirus 3,Alphapartitivirus,Partitiviridae
NC_048870.1,Epseptimavirus bastian,Epseptimavirus,Demerecviridae
NC_003865.1,Squash yellow mild mottle virus,Begomovirus,Geminiviridae
NC_055061.1,Epsilontectivirus toil,Epsilontectivirus,Tectiviridae
NC_073976.1,Kemicevirus caenicola,Kemicevirus,Fiersviridae
NC_001436.1,Primate T-lymphotropic virus 1,Deltaretrovirus,Retroviridae
NC_052983.1,Lavrentievavirus E21,Lavrentievavirus,Casjensviridae
NC_055900.1,Aurodevirus hominis,Aurodevirus,Suoliviridae
NC_006656.1,Bracoviriform congregatae,Bracoviriform,Polydnaviriformidae
NC_007735.1,TYLCCNV-[Y322] satellite DNA beta,Betasatellite,Tolecusatellitidae
NC_029926.1,Tilapinevirus tilapiae,Tilapinevirus,Amnoonviridae
NC_022897.1,Penaeus monodon circovirus VN11,Circovirus,Circoviridae
NC_023297.1,Pea yellow stunt virus,Nanovirus,Nanoviridae
